"id","first_day_exposition","days_exposition","last_price"
92,2017-11-17,54.0,4200000.0
93,2016-06-15,239.0,3500000.0
94,2019-04-26,4.0,3500000.0
95,2018-08-06,34.0,5150000.0
96,2018-08-24,31.0,8780000.0
97,2019-02-12,34.0,4898000.0
98,2014-12-10,831.0,11700000
99,2017-09-26,104.0,9600000.0
100,2018-02-22,8.0,3800000.0
101,2019-03-23,,3000000.0
102,2016-04-15,88.0,3700000.0
103,2018-10-04,19.0,4800000.0
104,2018-04-18,300.0,6900000.0
105,2018-01-07,60.0,4900000.0
106,2017-05-25,6.0,10500000
107,2016-04-13,122.0,11000000
108,2017-10-30,,9490000.0
109,2015-12-08,1048.0,7497600.0
110,2017-09-29,45.0,3850000.0
111,2017-05-29,31.0,4590000.0
112,2018-03-27,226.0,2500000.0
113,2016-05-19,426.0,5750000.0
114,2019-02-07,,4000000.0
115,2018-11-05,73.0,3850000.0
116,2017-11-13,394.0,10999000
117,2018-03-04,390.0,8520000.0
118,2019-02-24,60.0,4500000.0
119,2015-10-21,330.0,6200000.0
120,2017-10-20,360.0,2500000.0
121,2017-02-17,144.0,33000000
122,2019-04-06,,2100000.0
123,2019-04-04,9.0,4300000.0
124,2019-03-10,,12490000
125,2018-02-25,239.0,4800000.0
126,2019-04-23,,4050000.0
127,2019-04-29,,6210000.0
128,2019-02-13,35.0,2500000.0
129,2018-02-01,40.0,3200000.0
130,2018-06-23,163.0,2650000.0
131,2018-08-20,,3400000.0
132,2017-10-13,49.0,2699000.0
133,2018-03-23,78.0,3150000.0
134,2017-07-10,353.0,3800000.0
135,2018-09-28,216.0,3990000.0
136,2018-08-01,163.0,6500000.0
137,2018-01-01,340.0,13310800
138,2017-11-18,80.0,4800000.0
139,2016-04-13,172.0,2200000.0
140,2016-12-09,390.0,16912000
141,2019-02-27,,6500000.0
142,2017-09-27,42.0,4620000.0
143,2016-06-08,60.0,2990000.0
144,2017-03-30,181.0,2450000.0
145,2015-09-21,807.0,8290000.0
146,2018-03-31,55.0,4400000.0
147,2017-07-06,75.0,27700000
148,2018-11-04,71.0,4790000.0
149,2018-06-28,55.0,5300000.0
150,2017-07-01,222.0,3900000.0
151,2019-03-20,,2950000.0
152,2018-08-08,104.0,8090000.0
153,2017-05-21,45.0,4350000.0
154,2018-11-06,38.0,8200000.0
155,2017-07-07,62.0,96000000
156,2018-06-25,7.0,10990000
157,2017-02-15,30.0,7250000.0
158,2017-11-07,45.0,3100000.0
159,2017-09-04,98.0,7050000.0
160,2017-07-30,228.0,3300000.0
161,2016-04-11,69.0,5000000.0
162,2018-07-11,,5600000.0
163,2017-05-11,56.0,6500000.0
164,2018-06-25,81.0,800000.0
165,2019-02-28,,7430000.0
166,2017-12-02,45.0,2300000.0
167,2019-04-08,,3750000.0
168,2018-11-14,46.0,2250000.0
169,2017-06-02,20.0,6180000.0
170,2018-03-31,276.0,1400000.0
171,2019-02-22,11.0,3800000.0
172,2018-02-08,122.0,3570000.0
173,2017-04-11,,11000000
174,2018-10-16,37.0,2100000.0
175,2019-03-08,,2550000.0
176,2019-03-14,,7835000.0
177,2017-09-10,563.0,21042018
178,2019-03-30,,16300000
179,2019-04-11,,14800000
180,2018-08-02,8.0,3850000.0
181,2017-08-23,,7900000.0
182,2017-10-10,98.0,3400000.0
183,2017-02-16,246.0,3000000.0
184,2018-02-14,12.0,2600000.0
185,2018-10-20,145.0,8500000.0
186,2018-10-02,49.0,11640000
187,2017-10-06,69.0,4300000.0
188,2019-04-16,,4600000.0
189,2017-10-13,45.0,6150000.0
190,2016-06-01,233.0,5200000.0
191,2018-11-16,92.0,6400000.0
192,2017-04-17,79.0,3270000.0
193,2017-08-17,155.0,7920000.0
194,2019-02-07,50.0,7700000.0
195,2016-05-19,372.0,5300000.0
196,2017-06-29,119.0,8715960.0
197,2016-04-22,171.0,1600000.0
198,2015-02-04,586.0,2900000.0
199,2019-03-22,21.0,3735325.0
200,2018-06-30,271.0,9150000.0
201,2015-11-12,992.0,10880000
202,2017-04-29,339.0,4700000.0
203,2016-11-11,355.0,3999000.0
204,2018-01-12,24.0,3600000.0
205,2018-01-15,217.0,1980000.0
206,2019-04-23,,5080000.0
207,2018-09-08,,9000000.0
208,2019-04-17,,2450000.0
209,2019-04-11,,4700000.0
210,2016-06-15,45.0,4300000.0
211,2019-03-26,11.0,8000000.0
212,2015-01-29,543.0,10018000
213,2016-10-10,791.0,8700000.0
214,2017-07-20,274.0,4150000.0
215,2018-09-07,,3700000.0
216,2018-02-27,31.0,6700000.0
217,2018-04-05,122.0,6550000.0
218,2019-04-01,,4690000.0
219,2017-12-12,136.0,7700000.0
220,2018-07-09,28.0,3890000.0
221,2018-05-09,277.0,3750000.0
222,2018-05-08,182.0,5950000.0
223,2017-12-12,,2350000.0
224,2016-03-09,361.0,5650000.0
225,2017-04-05,113.0,3350000.0
226,2019-04-24,,7950000.0
227,2018-01-12,45.0,2200000.0
228,2017-11-25,42.0,2530000.0
229,2018-09-03,68.0,7290000.0
230,2018-04-03,92.0,3250000.0
231,2015-02-28,546.0,4250000.0
232,2018-03-08,166.0,3900000.0
233,2017-12-15,,19800000
234,2019-04-18,,7820000.0
235,2019-03-12,45.0,4000000.0
236,2017-09-22,48.0,3650000.0
237,2016-11-23,251.0,2438033.0
238,2019-04-16,,5420000.0
239,2017-02-16,77.0,22000000
240,2018-11-05,116.0,4700000.0
241,2017-09-18,127.0,7990000.0
242,2018-12-13,18.0,7250000.0
243,2017-06-07,451.0,1800000.0
244,2016-02-04,356.0,6850000.0
245,2016-02-19,120.0,6000000.0
246,2018-08-12,9.0,4500000.0
247,2017-01-20,378.0,650000.0
248,2015-08-02,637.0,4100000.0
249,2018-01-23,219.0,5000000.0
250,2019-01-22,21.0,3200000.0
251,2017-05-25,564.0,2950000.0
252,2018-01-10,103.0,5000000.0
253,2018-03-28,75.0,3340000.0
254,2017-06-30,21.0,3350000.0
255,2017-03-18,147.0,1850000.0
256,2018-02-01,85.0,5350000.0
257,2016-03-14,473.0,3450000.0
258,2017-08-10,448.0,2050000.0
259,2017-11-21,,900000.0
260,2014-12-09,,17250000
261,2019-04-29,,4600000.0
262,2019-01-24,,37500000
263,2016-11-19,,39900000
264,2016-06-03,327.0,2050000.0
265,2016-08-16,359.0,3150000.0
266,2016-04-19,104.0,3930000.0
267,2018-09-07,61.0,14700000
268,2018-03-15,75.0,650000.0
269,2017-09-11,214.0,4200000.0
270,2019-03-18,,3700000.0
271,2019-02-21,,1449900.0
272,2018-09-21,93.0,3950000.0
273,2017-03-07,542.0,4750000.0
274,2016-02-29,694.0,4318000.0
275,2015-06-24,443.0,2000000.0
276,2018-11-15,96.0,23900000
277,2017-10-12,90.0,4600000.0
278,2019-03-11,,6000000.0
279,2019-03-18,,18450000
280,2017-04-26,22.0,4900000.0
281,2018-11-24,52.0,3600000.0
282,2018-11-15,158.0,37000000
283,2018-11-03,81.0,2700000.0
284,2018-02-06,37.0,2650000.0
285,2017-09-02,132.0,3200000.0
286,2016-04-06,179.0,2400000.0
287,2016-06-09,520.0,3100000.0
288,2018-07-10,67.0,3810000.0
289,2017-06-05,45.0,3150000.0
290,2018-02-22,172.0,3900000.0
291,2017-01-24,480.0,5900000.0
292,2016-03-11,334.0,3400000.0
293,2017-06-14,247.0,900000.0
294,2018-10-14,3.0,3850000.0
295,2018-03-14,198.0,2300000.0
296,2017-08-09,14.0,1690000.0
297,2016-12-12,483.0,5200000.0
298,2017-04-25,49.0,2650000.0
299,2017-04-02,136.0,5550000.0
300,2018-06-21,63.0,7200000.0
301,2018-09-12,7.0,3700000.0
302,2016-04-05,168.0,3500000.0
303,2016-11-08,254.0,4400000.0
304,2018-02-01,43.0,2950000.0
305,2017-10-05,61.0,6283000.0
306,2018-08-23,72.0,7900000.0
307,2018-07-09,52.0,5350000.0
308,2018-02-01,47.0,5700000.0
309,2018-02-01,53.0,4800000.0
310,2018-01-05,102.0,2500000.0
311,2018-10-19,,12500000
312,2018-08-07,51.0,3190000.0
313,2016-03-09,189.0,2450000.0
314,2017-11-29,12.0,5100000.0
315,2018-09-29,156.0,13900000
316,2017-03-13,89.0,5650000.0
317,2018-02-27,225.0,3050000.0
318,2017-07-10,50.0,9990000.0
319,2015-03-19,974.0,4850000.0
320,2016-01-30,195.0,12734000
321,2017-07-11,37.0,3700000.0
322,2017-02-07,45.0,2000000.0
323,2017-06-29,118.0,9591727.0
324,2015-09-06,323.0,6090000.0
325,2019-04-26,,4500000.0
326,2017-09-22,121.0,3900000.0
327,2018-09-10,9.0,3200000.0
328,2019-04-04,,4950000.0
329,2017-04-18,15.0,7500000.0
330,2016-04-20,900.0,7100000.0
331,2018-04-25,,7500000.0
332,2018-11-01,7.0,3300000.0
333,2017-08-30,122.0,5800000.0
334,2016-05-14,445.0,6000000.0
335,2017-12-10,106.0,21800000
336,2019-03-11,,7700000.0
337,2018-03-06,7.0,5500000.0
338,2018-09-03,81.0,3990000.0
339,2016-01-14,550.0,3980000.0
340,2017-06-15,45.0,3200000.0
341,2017-11-21,168.0,2950000.0
342,2019-05-01,,9900000.0
343,2017-12-08,490.0,4400000.0
344,2018-07-30,183.0,6200000.0
345,2017-12-26,17.0,3300000.0
346,2016-08-18,635.0,2100000.0
347,2018-08-31,98.0,4400000.0
348,2018-03-12,143.0,3500000.0
349,2017-09-27,45.0,2320000.0
350,2019-03-25,5.0,4150000.0
351,2019-02-20,,8350000.0
352,2016-04-25,60.0,5496074.0
353,2015-05-08,1292.0,5990000.0
354,2017-11-20,,7030000.0
355,2018-07-12,259.0,3600000.0
356,2018-10-05,13.0,6500000.0
357,2017-11-10,11.0,8560000.0
358,2019-02-28,14.0,4600000.0
359,2018-08-07,,7000000.0
360,2018-08-22,60.0,4990000.0
361,2019-03-17,34.0,7400000.0
362,2019-03-19,,4700000.0
363,2019-04-08,,7100000.0
364,2018-09-06,41.0,2350000.0
365,2017-01-23,32.0,3900000.0
366,2017-12-21,103.0,3400000.0
367,2017-10-17,508.0,3450000.0
368,2018-09-21,4.0,12500000
369,2018-11-18,,4440000.0
370,2018-03-26,172.0,3050000.0
371,2018-09-12,92.0,7300000.0
372,2018-03-22,7.0,3244000.0
373,2019-01-30,50.0,5150000.0
374,2015-04-24,458.0,5239000.0
375,2017-11-25,188.0,25000000
376,2018-06-26,201.0,8400000.0
377,2018-02-01,15.0,4110000.0
378,2015-10-27,703.0,2950000.0
379,2017-02-07,153.0,21000000
380,2018-12-12,56.0,4600000.0
381,2016-05-24,,2600000.0
382,2018-02-01,38.0,900000.0
383,2016-07-28,662.0,5800000.0
384,2018-01-11,45.0,4100000.0
385,2018-09-04,72.0,4100000.0
386,2018-03-06,106.0,2370000.0
387,2018-03-23,98.0,6630000.0
388,2017-09-19,276.0,3800000.0
389,2018-02-13,368.0,8500000.0
390,2018-10-26,39.0,6760000.0
391,2016-06-02,776.0,8700000.0
392,2018-01-19,45.0,3900000.0
393,2017-06-16,99.0,2350000.0
394,2017-08-23,44.0,4000000.0
395,2019-03-01,45.0,1450000.0
396,2016-09-08,349.0,4200000.0
397,2018-03-22,11.0,5990000.0
398,2014-12-09,1345.0,12789000
399,2018-07-21,,5900000.0
400,2018-08-25,22.0,2450000.0
401,2016-06-28,13.0,5390000.0
402,2015-01-20,722.0,4370000.0
403,2016-07-04,128.0,3600000.0
404,2016-04-27,89.0,11400000
405,2018-08-15,242.0,6650000.0
406,2018-02-02,62.0,4125000.0
407,2017-10-04,28.0,2750000.0
408,2017-03-21,140.0,5812413.0
409,2017-08-15,10.0,6600000.0
410,2017-10-19,300.0,10850000
411,2014-12-09,594.0,40662000
412,2018-02-09,29.0,3050000.0
413,2018-06-29,25.0,4250000.0
414,2018-03-31,227.0,5600000.0
415,2018-02-21,96.0,6800000.0
416,2016-07-04,60.0,5200000.0
417,2017-10-26,104.0,14200000
418,2018-02-21,14.0,3100000.0
419,2017-02-21,654.0,4150000.0
420,2017-09-20,70.0,4900000.0
421,2017-12-19,45.0,2499999.0
422,2018-03-24,,1700000.0
423,2018-04-03,240.0,3750000.0
424,2016-05-10,90.0,11500000
425,2018-02-12,212.0,5300000.0
426,2018-02-01,134.0,6950000.0
427,2018-01-10,12.0,3400000.0
428,2018-09-09,32.0,2500000.0
429,2017-04-27,8.0,3997000.0
430,2017-05-02,38.0,4850000.0
431,2017-12-04,419.0,1700000.0
432,2018-09-10,23.0,1490000.0
433,2017-04-28,402.0,6800000.0
434,2017-08-03,245.0,2880000.0
435,2018-01-12,11.0,6800000.0
436,2018-02-01,114.0,5000000.0
437,2015-02-24,1273.0,3350000.0
438,2017-06-29,229.0,7410000.0
439,2018-08-11,149.0,8570000.0
440,2018-03-12,64.0,2480000.0
441,2016-06-17,77.0,3700000.0
442,2018-02-07,6.0,4200000.0
443,2019-05-01,,7000000.0
444,2018-08-17,90.0,4200000.0
445,2019-03-29,,5500000.0
446,2019-04-24,,4690000.0
447,2018-07-05,90.0,12084000
448,2017-06-30,193.0,4990000.0
449,2018-09-12,19.0,12500000
450,2017-02-03,96.0,6550000.0
451,2017-05-17,81.0,4250000.0
452,2017-08-04,83.0,1950000.0
453,2017-08-31,8.0,3490000.0
454,2017-11-10,98.0,7950000.0
455,2019-04-24,,8500000.0
456,2017-06-07,100.0,3300000.0
457,2015-08-01,727.0,9788348.0
458,2018-10-05,,4200000.0
459,2016-03-02,1153.0,5200000.0
460,2018-02-01,73.0,4200000.0
461,2018-03-12,70.0,4700000.0
462,2017-08-08,240.0,2370000.0
463,2016-07-02,122.0,5150000.0
464,2015-06-11,578.0,66571000
465,2017-05-22,349.0,4900000.0
466,2018-01-11,90.0,15900000
467,2016-03-18,706.0,7000000.0
468,2016-09-23,189.0,4100000.0
469,2015-11-23,434.0,6800000.0
470,2018-07-01,76.0,4900000.0
471,2017-03-09,384.0,5700000.0
472,2018-09-28,120.0,6910000.0
473,2019-01-29,51.0,4950000.0
474,2017-06-25,306.0,5700000.0
475,2017-09-26,12.0,16512000
476,2017-11-10,25.0,1634000.0
477,2015-10-23,263.0,3700000.0
478,2018-01-12,309.0,3290000.0
479,2017-11-09,69.0,13500000
480,2015-11-18,470.0,7050000.0
481,2018-01-03,59.0,6300000.0
482,2018-10-08,106.0,6570000.0
483,2018-02-21,429.0,10000000
484,2018-06-04,92.0,10000000
485,2017-05-05,552.0,5400000.0
486,2015-08-20,638.0,6650000.0
487,2018-11-04,45.0,1300000.0
488,2017-10-26,174.0,1800000.0
489,2018-08-06,143.0,3600000.0
490,2018-12-14,4.0,3140000.0
491,2017-12-21,60.0,8900000.0
492,2017-12-05,14.0,95000000
493,2018-06-21,36.0,2950000.0
494,2017-05-12,277.0,5100000.0
495,2015-09-20,702.0,10400000
496,2019-02-27,,13460000
497,2018-12-15,54.0,8351000.0
498,2016-02-16,139.0,5100000.0
499,2017-11-28,22.0,12200000
500,2017-07-19,266.0,2000000.0
501,2016-04-17,92.0,4157000.0
502,2017-01-26,35.0,11250000
503,2018-02-27,74.0,2850000.0
504,2018-02-25,5.0,3950000.0
505,2017-04-24,402.0,4500000.0
506,2018-03-24,217.0,5600000.0
507,2017-09-11,89.0,4200000.0
508,2017-03-28,430.0,3375000.0
509,2016-06-26,416.0,90000000
510,2018-10-29,40.0,3700000.0
511,2017-12-21,56.0,5950000.0
512,2014-12-09,1155.0,6260000.0
513,2016-02-04,156.0,16500000
514,2018-11-12,136.0,1700000.0
515,2018-09-06,60.0,5500000.0
516,2018-09-21,20.0,4150000.0
517,2019-01-08,58.0,6800000.0
518,2015-07-30,613.0,2720000.0
519,2016-07-12,531.0,6800000.0
520,2016-11-02,,11700000
521,2015-01-21,1441.0,25717300
522,2015-10-31,268.0,3690000.0
523,2016-07-18,388.0,6300000.0
524,2017-05-18,45.0,3800000.0
525,2016-10-25,,3900000.0
526,2017-05-30,45.0,4350000.0
527,2018-08-07,94.0,4200000.0
528,2018-01-09,158.0,5500000.0
529,2017-11-26,21.0,5790000.0
530,2018-07-17,23.0,5200000.0
531,2016-11-24,193.0,4300000.0
532,2014-12-16,608.0,6800000.0
533,2019-01-11,95.0,5900000.0
534,2018-08-30,46.0,4600000.0
535,2017-11-17,90.0,12500000
536,2019-03-27,,9500000.0
537,2018-05-07,112.0,5360000.0
538,2018-02-01,260.0,8600000.0
539,2018-06-25,45.0,3250000.0
540,2017-02-21,78.0,7500000.0
541,2016-05-27,36.0,1990000.0
542,2016-04-28,127.0,1750000.0
543,2018-11-06,,12790000
544,2018-02-21,,4847000.0
545,2018-12-28,108.0,4700000.0
546,2018-11-16,17.0,6000001.0
547,2017-05-14,5.0,8000000.0
548,2018-07-24,60.0,9411080.0
549,2018-10-16,97.0,2220000.0
550,2018-04-21,325.0,5300000.0
551,2018-03-08,70.0,3100000.0
552,2017-03-30,270.0,2999000.0
553,2017-05-22,60.0,4700000.0
554,2017-09-12,485.0,4900000.0
555,2017-05-13,228.0,7680000.0
556,2018-06-06,86.0,3500000.0
557,2019-03-18,7.0,3120000.0
558,2017-10-27,32.0,4500000.0
559,2015-02-11,927.0,8100000.0
560,2015-12-21,211.0,4080000.0
561,2018-08-07,195.0,3400000.0
562,2016-04-19,433.0,3750000.0
563,2019-03-12,,5950000.0
564,2017-06-18,246.0,5800000.0
565,2018-07-04,205.0,8945261.0
566,2018-11-01,7.0,7000000.0
567,2017-08-14,59.0,9300000.0
568,2016-05-18,425.0,3800000.0
569,2016-06-08,49.0,4160000.0
570,2016-07-01,41.0,8107000.0
571,2018-01-17,189.0,4600000.0
572,2017-04-05,146.0,8400000.0
573,2015-07-15,594.0,5026719.0
574,2016-02-02,317.0,15300000
575,2017-06-20,414.0,6275000.0
576,2017-09-11,50.0,8600000.0
577,2017-07-23,,4000000.0
578,2018-07-19,65.0,5490000.0
579,2017-11-08,383.0,3250000.0
580,2019-02-07,,5270000.0
581,2019-03-18,,65000000
582,2017-07-10,3.0,3500000.0
583,2017-11-10,60.0,9150000.0
584,2018-02-07,45.0,2550000.0
585,2019-04-03,,10300000
586,2018-02-01,246.0,4900000.0
587,2018-01-17,322.0,4500000.0
588,2016-05-03,45.0,13900000
589,2019-01-28,66.0,8150000.0
590,2018-09-03,194.0,8200000.0
591,2017-11-08,35.0,4300000.0
592,2015-07-30,688.0,3100000.0
593,2019-04-16,,4200000.0
594,2018-03-06,139.0,4640000.0
595,2019-03-21,,1850000.0
596,2018-03-27,111.0,2700000.0
597,2018-11-12,15.0,4500000.0
598,2017-11-07,245.0,3650000.0
599,2018-03-28,40.0,3330000.0
600,2018-12-08,110.0,3950000.0
601,2017-04-18,167.0,5600000.0
602,2017-06-06,45.0,3600000.0
603,2017-11-14,27.0,3250000.0
604,2018-12-12,,9899000.0
605,2017-01-23,287.0,22000000
606,2018-04-03,374.0,790000.0
607,2018-03-16,,16500000
608,2019-02-20,29.0,1850000.0
609,2018-10-02,137.0,5100000.0
610,2018-08-04,37.0,1800000.0
611,2018-08-06,116.0,3650000.0
612,2017-06-17,5.0,35000000
613,2016-08-17,538.0,5100000.0
614,2017-08-01,119.0,5250000.0
615,2017-06-30,18.0,4100000.0
616,2019-01-28,,15000000
617,2014-11-27,606.0,12036000
618,2018-02-25,29.0,5000000.0
619,2017-04-07,343.0,4200000.0
620,2019-04-04,,15800000
621,2018-01-18,42.0,6100000.0
622,2018-11-16,,1900000.0
623,2019-03-13,25.0,6000000.0
624,2017-10-17,64.0,3600000.0
625,2018-11-20,55.0,4950000.0
626,2017-05-18,5.0,1990000.0
627,2017-05-16,154.0,4150000.0
628,2017-04-14,97.0,5500000.0
629,2018-02-01,18.0,3910000.0
630,2018-07-19,,3700000.0
631,2016-08-08,557.0,4990000.0
632,2017-11-14,,3350000.0
633,2018-10-08,24.0,7250000.0
634,2018-03-19,356.0,4300000.0
635,2018-03-16,,25990000
636,2018-11-20,28.0,5300000.0
637,2019-04-18,5.0,2699000.0
638,2019-04-12,,980000.0
639,2017-12-03,65.0,4950000.0
640,2018-04-06,17.0,3900000.0
641,2016-01-25,294.0,2699000.0
642,2018-08-21,13.0,8400000.0
643,2018-02-16,33.0,33300000
644,2015-11-25,527.0,3019260.0
645,2017-07-15,12.0,4775000.0
646,2017-09-29,21.0,2200000.0
647,2019-05-01,,5250000.0
648,2018-07-01,,17500000
649,2018-10-02,89.0,7210000.0
650,2016-02-02,605.0,1750000.0
651,2016-11-25,330.0,2600000.0
652,2018-03-26,337.0,25500000
653,2014-12-09,594.0,27250000
654,2017-04-18,381.0,2750000.0
655,2019-02-20,31.0,10000000
656,2018-10-11,53.0,18500000
657,2015-11-07,381.0,3600000.0
658,2015-11-02,1174.0,11200000
659,2017-12-08,60.0,6800000.0
660,2017-10-04,391.0,49950000
661,2017-11-10,307.0,7200000.0
662,2017-11-21,54.0,4500000.0
663,2017-01-02,410.0,4600000.0
664,2018-11-15,84.0,5100000.0
665,2018-07-16,115.0,3720000.0
666,2018-08-30,65.0,2350000.0
667,2017-02-08,119.0,22642800
668,2017-09-26,106.0,5900000.0
669,2015-11-23,365.0,3950000.0
670,2017-08-08,112.0,13700000
671,2017-04-06,123.0,6051191.0
672,2019-02-26,48.0,4400000.0
673,2019-03-19,34.0,4789500.0
674,2019-02-11,,50000000
675,2018-11-16,4.0,5799000.0
676,2019-04-27,,4400000.0
677,2018-02-08,,4900000.0
678,2017-04-25,145.0,6000000.0
679,2017-09-27,172.0,13700000
680,2017-10-31,296.0,7200000.0
681,2015-08-13,781.0,24900000
682,2019-02-28,60.0,4799000.0
683,2018-02-20,60.0,5850000.0
684,2014-12-09,1141.0,9200000.0
685,2016-01-11,303.0,2800000.0
686,2018-11-28,45.0,1300000.0
687,2017-04-10,179.0,5500000.0
688,2015-12-08,667.0,16010211
689,2017-05-22,325.0,3500000.0
690,2016-04-29,63.0,22900000
691,2019-02-13,,5400000.0
692,2017-10-13,166.0,4650000.0
693,2018-09-08,77.0,2405000.0
694,2015-03-26,1002.0,2450000.0
695,2019-04-01,,14900000
696,2014-11-27,574.0,3364930.0
697,2017-12-01,201.0,2500000.0
698,2018-08-21,97.0,5930000.0
699,2018-11-12,42.0,3200000.0
700,2015-06-09,512.0,14850000
701,2015-02-09,839.0,3640000.0
702,2018-07-19,60.0,4750000.0
703,2016-07-07,786.0,1200000.0
704,2015-12-17,240.0,10600000
705,2017-11-08,,5000000.0
706,2019-03-02,57.0,8680000.0
707,2017-08-08,65.0,4500000.0
708,2016-03-01,611.0,4990000.0
709,2017-12-14,60.0,8971000.0
710,2017-09-05,48.0,4000000.0
711,2018-08-01,136.0,3850000.0
712,2017-12-22,77.0,2900000.0
713,2017-01-13,477.0,5199000.0
714,2015-09-20,818.0,6204472.0
715,2018-02-01,38.0,4150000.0
716,2017-06-07,40.0,1500000.0
717,2017-06-27,308.0,4600000.0
718,2018-07-30,174.0,1600000.0
719,2018-02-01,210.0,2500000.0
720,2018-06-05,142.0,4150000.0
721,2017-11-11,150.0,12750000
722,2017-08-05,524.0,4290000.0
723,2018-05-04,176.0,5850000.0
724,2018-03-02,360.0,1150000.0
725,2017-06-19,45.0,4150000.0
726,2016-05-25,89.0,3800000.0
727,2018-01-09,306.0,1290000.0
728,2018-07-10,108.0,3600000.0
729,2019-01-24,64.0,2800000.0
730,2018-03-14,21.0,7260000.0
731,2018-04-03,45.0,3550000.0
732,2018-08-03,31.0,3950000.0
733,2018-02-03,112.0,18700000
734,2017-06-06,94.0,17390000
735,2018-01-16,30.0,4500000.0
736,2016-08-05,446.0,10690000
737,2017-06-08,151.0,2650000.0
738,2017-11-23,185.0,4480000.0
739,2015-08-31,395.0,3200000.0
740,2018-03-25,387.0,3080000.0
741,2018-07-12,66.0,3600000.0
742,2016-05-22,402.0,37000000
743,2018-03-21,15.0,1750000.0
744,2016-03-09,755.0,5500000.0
745,2017-07-22,125.0,2850000.0
746,2018-10-25,45.0,2160000.0
747,2016-05-26,603.0,3800000.0
748,2017-11-28,128.0,14350000
749,2015-03-19,1336.0,4150000.0
750,2017-03-04,246.0,29500000
751,2016-02-10,132.0,7000000.0
752,2018-03-13,351.0,13179000
753,2018-01-01,84.0,4500000.0
754,2017-04-24,4.0,8400000.0
755,2017-07-25,70.0,4600000.0
756,2019-03-21,,2200000.0
757,2017-07-04,84.0,4900000.0
758,2018-07-04,113.0,9900000.0
759,2017-04-10,37.0,4350000.0
760,2017-12-13,37.0,4100000.0
